Test Name:,Hydraulic test 30 Jan 2023 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Notes:,1. short pressurization CP (last stage pressure was at 1000 psi - then reached 0 because the pump run out of water - the test will start again at 1000 psi) 2. HF at CV rate. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,Time,st0,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,Name 19,Name 20,Name 21,Name 22,Name 23,Name 24,Name 25,Name 26,Name 27,Name 28,Name 29,Name 30,Name 31,Name 32,Name 41,Name 42,Name 43,Name 44,Name 45,Name 46,Name 47,Name 48,Name 49,Name 50,Name 51,Name 52,Name 53,Name 54,Name 55,Name 56,Name 57,Name 58,Name 59,Name 60,Name 61,Name 62,Name 63,Name 64,Name 65,Name 66,Name 67,Name 68,Name 69,Name 70,Name 71,Name 72,Pressure Transducer ,Wellbore Pressure,Name 35,Name 36,Name 37,Name 38,Name 39,Name 40,Pump A Pressure,Pump A Flow,Pump A Volume,Pump B Pressure,Pump B Flow,Pump B Volume,Accumulator 1 Vol,Accumulator 2 Vol,Accumulator 3 Vol,V A In,V A Out,V B In,V B Out,V ACC 1,V ACC 2,V ACC 3,V Sample,V ACC 1 Out (Phase III),V ACC 2 Out (Phase III),V ACC 3 Out (Phase III),Spare 11,Spare 12,Spare 13,Spare 14,Spare 15,Spare 16,Spare 17,Spare 18,Spare 19,Spare 20,Spare 21,Spare 22,Spare 23,Spare 24,Spare 25,Spare 26,Spare 27,Spare 28,Spare 29,Spare 30,Spare 31,Comment
YYYYMMDD,HH:MM:SS.SSS,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,mm/mm,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,kPa,mL/min,mL,kPa,mL/min,mL,mL,mL,mL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:19.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000004,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1381.885337,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,1380.877947,3593.163162,-17235.97542,-17236.1969,-17236.29157,-17236.30292,-17236.371,-17236.27492,-17236.43735,466.8,0,99.305075,478.8,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:20.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000003,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1381.882901,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,1380.879663,3606.971536,-17236.01915,-17236.17721,-17236.33115,-17236.43423,-17236.2905,-17236.28619,-17236.45722,465.4,0,99.305075,478.6,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:21.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000004,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1381.884254,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,1380.877465,3655.937065,-17236.0121,-17236.11783,-17236.42726,-17236.42444,-17236.25653,-17236.2891,-17236.43741,465.4,0,99.305075,478.6,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:22.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000003,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1381.883445,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,1380.874463,3623.019464,-17236.029,-17236.30001,-17236.36934,-17236.382,-17236.22116,-17236.24945,-17236.40352,464.6,0,99.305075,478.2,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:23.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000003,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1381.885847,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,1380.873387,3600.406581,-17236.00931,-17236.15459,-17236.37926,-17236.37777,-17236.27919,-17236.28482,-17236.40912,464,0,99.305075,477.8,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:24.1,0,0.000003,-0.000037,-0.000001,0,-0.000002,NaN,NaN,-0.000004,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1381.882473,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,1380.874994,3612.657592,-17236.10951,-17236.27614,-17236.33398,-17236.37635,-17236.29749,-17236.25941,-17236.52639,463.6,0,99.304563,478,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:25.1,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000004,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1381.88868,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,1380.876741,3774.690753,-17235.88505,-17236.16593,-17236.44277,-17236.34526,-17236.23671,-17236.28054,-17236.39782,486.6,0.659091,99.285972,478.2,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:26.2,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000004,-0.000002,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1381.886198,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,1380.876259,3858.66611,-17235.71969,-17236.09376,-17236.32266,-17236.34239,-17236.37668,-17236.31869,-17236.44169,491.8,0.444799,99.281271,478.2,0,102.428713,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230130,09:27.2,0,0.000003,-0.000037,-0.000001,-0.000001,-0.000002,NaN,NaN,-0.000004,-0.000003,-0.000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1381.881314,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,1380.873257,3824.301022,-17236.00222,-17236.10368,-17236.3396,-17236.32545,-17236.42045,-17236.24237,-17236.41899,496.8,0.155216,99.277207,13.6,0,102.428675,350,350,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
